feature,importance
merchant_state_encoded,0.18802484846707698
use_chip_encoded,0.10758701422176177
mcc_amount_mean,0.07864783887440607
mcc_frequency,0.07419885209782372
merchant_city_encoded,0.07202416289106964
mcc_transaction_count,0.06949382267639852
date_encoded,0.061273728908176
zip,0.04829984426907244
card_age_days,0.03979775733083424
mcc_amount_std,0.035575818024292785
year,0.028917804258401698
mcc,0.027654885147852335
month_cos,0.017260340396315434
amount,0.014380955894893032
dow_sin,0.013679229683686813
hour_cos,0.013364696772304443
amount_deviation_from_mcc_mean,0.013109346926504303
month,0.012558009478554202
dow_cos,0.011447536650335492
card_transaction_count,0.011011406170074059
amount_log,0.009807093540516608
hour_sin,0.007716492596995628
amount_sqrt,0.006869464725863501
is_night,0.005567222527091609
month_sin,0.0051019869542521445
quarter,0.005097601295120486
hour,0.005041695554609162
hours_since_last_card_transaction,0.004117925739182193
amount_bin,0.0031897347907922802
day_of_week,0.002130050534509575
day_of_month,0.0019147502587171328
composite_risk_score,0.0010836100130486625
is_weekend,0.0010718287731061092
is_high_risk_mcc,0.0008107544619871049
is_high_risk_hour,0.0007440724357115477
is_business_hours,0.0006625784974945203
is_high_amount,0.0005925711096401348
errors_encoded,0.00017266705152778564
